epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3292,1.29608,2.01122,1.18006,0.6097,0.29805,0.30336,0.18629,1.33313,1.42476,1.24488,0.000132544,0.000132544,0.000132544
2,136.709,1.29852,1.44933,1.21049,0.53597,0.32054,0.32252,0.18904,1.38059,1.51817,1.33437,0.000260613,0.000260613,0.000260613
3,202.91,1.30462,1.39556,1.23011,0.52842,0.3655,0.34886,0.20863,1.39315,1.46169,1.35377,0.000383402,0.000383402,0.000383402
4,267.74,1.29677,1.3293,1.22509,0.57856,0.3663,0.36253,0.21426,1.33625,1.40973,1.28449,0.00037624,0.00037624,0.00037624
5,332.934,1.27969,1.27025,1.22286,0.53152,0.36459,0.36832,0.22831,1.30896,1.33146,1.28029,0.00036832,0.00036832,0.00036832
6,397.722,1.25145,1.19498,1.1999,0.67152,0.39487,0.41575,0.25132,1.30169,1.25594,1.26729,0.0003604,0.0003604,0.0003604
7,463.98,1.22497,1.13229,1.1902,0.65486,0.36853,0.41727,0.23363,1.4629,1.39557,1.35348,0.00035248,0.00035248,0.00035248
8,528.063,1.20596,1.08413,1.17555,0.64371,0.37755,0.39679,0.23836,1.41668,1.30221,1.35319,0.00034456,0.00034456,0.00034456
9,591.918,1.19383,1.05791,1.1668,0.69184,0.39746,0.41636,0.24547,1.416,1.18393,1.33148,0.00033664,0.00033664,0.00033664
10,656.518,1.17881,1.02344,1.15454,0.64265,0.43427,0.45179,0.26721,1.29816,1.18028,1.25747,0.00032872,0.00032872,0.00032872
11,721.685,1.14275,0.98516,1.14046,0.57084,0.40495,0.41405,0.24864,1.32662,1.23974,1.27894,0.0003208,0.0003208,0.0003208
12,786.353,1.14293,0.95665,1.13482,0.63331,0.44762,0.46217,0.28265,1.31129,1.17991,1.26091,0.00031288,0.00031288,0.00031288
13,851.288,1.12087,0.91285,1.1285,0.65376,0.43493,0.46736,0.27975,1.36183,1.15122,1.31215,0.00030496,0.00030496,0.00030496
14,915.056,1.12329,0.89479,1.11517,0.71,0.45978,0.47784,0.29647,1.26479,1.1091,1.23473,0.00029704,0.00029704,0.00029704
15,979.468,1.08207,0.86016,1.10971,0.56985,0.4404,0.42707,0.25567,1.37011,1.21005,1.30967,0.00028912,0.00028912,0.00028912
16,1042.88,1.08672,0.86232,1.10376,0.7606,0.38957,0.47838,0.30504,1.27175,1.11971,1.25674,0.0002812,0.0002812,0.0002812
17,1107.43,1.07902,0.82226,1.09339,0.60289,0.46469,0.47058,0.28642,1.32792,1.09767,1.29007,0.00027328,0.00027328,0.00027328
