epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5878,1.31622,2.10528,1.15736,0.52737,0.31997,0.27837,0.16903,1.27142,1.45634,1.18019,0.000132544,0.000132544,0.000132544
2,99.8955,1.28265,1.43096,1.15211,0.5494,0.34547,0.34567,0.20938,1.26399,1.38676,1.17849,0.000260613,0.000260613,0.000260613
3,145.556,1.27362,1.3489,1.15588,0.58697,0.39783,0.40452,0.25395,1.27311,1.35348,1.19019,0.000383402,0.000383402,0.000383402
4,191.251,1.2678,1.28746,1.1546,0.55771,0.46311,0.40039,0.24476,1.33411,1.41078,1.23921,0.00037624,0.00037624,0.00037624
5,235.736,1.25224,1.24032,1.15744,0.53413,0.4549,0.42099,0.26088,1.29753,1.25309,1.19669,0.00036832,0.00036832,0.00036832
6,281.491,1.22638,1.1658,1.13687,0.61464,0.42274,0.42118,0.25454,1.32948,1.20412,1.22989,0.0003604,0.0003604,0.0003604
7,326.005,1.20302,1.10803,1.13337,0.66404,0.36511,0.42267,0.2477,1.34793,1.21656,1.23494,0.00035248,0.00035248,0.00035248
8,370.137,1.19294,1.06213,1.1214,0.68003,0.38772,0.43379,0.2565,1.26344,1.17857,1.19099,0.00034456,0.00034456,0.00034456
9,414.618,1.1758,1.03069,1.10842,0.59188,0.42034,0.44299,0.26106,1.36679,1.21272,1.22913,0.00033664,0.00033664,0.00033664
10,459.92,1.16448,1.00395,1.09889,0.66782,0.4244,0.51631,0.28915,1.2793,1.1597,1.20073,0.00032872,0.00032872,0.00032872
11,505.037,1.12521,0.96869,1.09211,0.66873,0.39557,0.43676,0.26571,1.27562,1.18427,1.19645,0.0003208,0.0003208,0.0003208
12,549.354,1.12494,0.94679,1.08213,0.68196,0.46853,0.51833,0.30188,1.31119,1.08285,1.20413,0.00031288,0.00031288,0.00031288
13,594.136,1.1162,0.90823,1.08381,0.54632,0.49365,0.45195,0.26643,1.35856,1.23219,1.24875,0.00030496,0.00030496,0.00030496
14,638.35,1.11242,0.88809,1.0695,0.66167,0.45971,0.45541,0.28303,1.24657,1.1223,1.18317,0.00029704,0.00029704,0.00029704
15,682.496,1.079,0.84638,1.06541,0.50655,0.56742,0.51051,0.28637,1.31378,1.14546,1.20961,0.00028912,0.00028912,0.00028912
16,726.918,1.0845,0.84491,1.06159,0.49169,0.48567,0.43433,0.26554,1.31946,1.16025,1.22455,0.0002812,0.0002812,0.0002812
17,771.858,1.07174,0.8137,1.05267,0.48009,0.53981,0.52081,0.29725,1.27283,1.06122,1.18919,0.00027328,0.00027328,0.00027328
18,816.164,1.04629,0.79238,1.04665,0.63987,0.45543,0.47853,0.29819,1.28966,1.13207,1.20519,0.00026536,0.00026536,0.00026536
19,860.481,1.04126,0.77469,1.0413,0.46767,0.55519,0.49997,0.30007,1.30784,1.16595,1.22004,0.00025744,0.00025744,0.00025744
20,904.745,1.01714,0.75621,1.03524,0.70329,0.42761,0.53787,0.3058,1.29915,1.13001,1.20534,0.00024952,0.00024952,0.00024952
21,949.655,1.01222,0.73863,1.03138,0.6232,0.48744,0.5338,0.30932,1.28459,1.05451,1.21136,0.0002416,0.0002416,0.0002416
22,994.513,1.00375,0.71953,1.02493,0.64124,0.49353,0.54251,0.30924,1.28342,1.09021,1.19992,0.00023368,0.00023368,0.00023368
23,1038.55,0.99401,0.7077,1.01913,0.61697,0.53685,0.55058,0.31884,1.2712,1.03888,1.19268,0.00022576,0.00022576,0.00022576
24,1083.23,0.99156,0.69656,1.01586,0.58727,0.50382,0.50268,0.303,1.27936,1.07858,1.20542,0.00021784,0.00021784,0.00021784
25,1127.57,0.97158,0.67328,1.00634,0.6546,0.46733,0.53924,0.30619,1.29052,1.08394,1.21106,0.00020992,0.00020992,0.00020992
26,1172.37,0.95291,0.65814,0.99842,0.58539,0.43237,0.47893,0.29819,1.31257,1.08443,1.21925,0.000202,0.000202,0.000202
27,1216.52,0.94679,0.64969,0.99155,0.647,0.49951,0.54163,0.31666,1.29387,1.08287,1.21103,0.00019408,0.00019408,0.00019408
28,1260.83,0.94349,0.62842,0.99054,0.68813,0.46485,0.54327,0.30941,1.26641,1.058,1.19898,0.00018616,0.00018616,0.00018616
29,1306.75,0.9334,0.61741,0.98445,0.6571,0.48335,0.54104,0.32758,1.26537,1.09386,1.19821,0.00017824,0.00017824,0.00017824
30,1359.71,0.92296,0.60642,0.97768,0.61627,0.53357,0.54329,0.30574,1.3033,1.06042,1.22678,0.00017032,0.00017032,0.00017032
